Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
55414121,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413161,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413608,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413193,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413060,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413070,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55413627,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55163474,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55513761,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55513613,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55493735,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55913815,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55683463,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55973416,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
55773474,Demais Cidades do Brasil - Fixo,0,4,0.69,30,6
557520,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557521,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557522,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557535,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557536,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557537,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557538,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557539,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557552,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557553,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557554,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
557555,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55754007,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55754141,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55752101,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753022,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753029,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753062,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753211,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753303,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753321,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753482,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753484,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753603,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753611,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55752102,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753021,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753023,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753028,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
55753030,Cidades Importantes do Brasil - Fixo,0,4,0.69,30,6
