Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
1055116,Brasil Movel,0,4,0.99,30,6
1055117,Brasil Movel,0,4,0.99,30,6
1055118,Brasil Movel,0,4,0.99,30,6
1055119,Brasil Movel,0,4,0.99,30,6
1055126,Brasil Movel,0,4,0.99,30,6
1055127,Brasil Movel,0,4,0.99,30,6
1055128,Brasil Movel,0,4,0.99,30,6
1055129,Brasil Movel,0,4,0.99,30,6
1055136,Brasil Movel,0,4,0.99,30,6
1055137,Brasil Movel,0,4,0.99,30,6
1055138,Brasil Movel,0,4,0.99,30,6
1055139,Brasil Movel,0,4,0.99,30,6
1055146,Brasil Movel,0,4,0.99,30,6
1055147,Brasil Movel,0,4,0.99,30,6
1055148,Brasil Movel,0,4,0.99,30,6
1055149,Brasil Movel,0,4,0.99,30,6
1055156,Brasil Movel,0,4,0.99,30,6
1055157,Brasil Movel,0,4,0.99,30,6
1055158,Brasil Movel,0,4,0.99,30,6
1055159,Brasil Movel,0,4,0.99,30,6
1055166,Brasil Movel,0,4,0.99,30,6
1055167,Brasil Movel,0,4,0.99,30,6
1055168,Brasil Movel,0,4,0.99,30,6
1055169,Brasil Movel,0,4,0.99,30,6
1055176,Brasil Movel,0,4,0.99,30,6
1055177,Brasil Movel,0,4,0.99,30,6
1055178,Brasil Movel,0,4,0.99,30,6
1055179,Brasil Movel,0,4,0.99,30,6
1055186,Brasil Movel,0,4,0.99,30,6
1055187,Brasil Movel,0,4,0.99,30,6
1055188,Brasil Movel,0,4,0.99,30,6
1055189,Brasil Movel,0,4,0.99,30,6
1055196,Brasil Movel,0,4,0.99,30,6
1055197,Brasil Movel,0,4,0.99,30,6
1055198,Brasil Movel,0,4,0.99,30,6
1055199,Brasil Movel,0,4,0.99,30,6
1055206,Brasil Movel,0,4,0.99,30,6
1055207,Brasil Movel,0,4,0.99,30,6
1055208,Brasil Movel,0,4,0.99,30,6
1055209,Brasil Movel,0,4,0.99,30,6
1055216,Brasil Movel,0,4,0.99,30,6
1055217,Brasil Movel,0,4,0.99,30,6
1055218,Brasil Movel,0,4,0.99,30,6
1055219,Brasil Movel,0,4,0.99,30,6
1055226,Brasil Movel,0,4,0.99,30,6
1055227,Brasil Movel,0,4,0.99,30,6
1055228,Brasil Movel,0,4,0.99,30,6
1055229,Brasil Movel,0,4,0.99,30,6
1055236,Brasil Movel,0,4,0.99,30,6
1055237,Brasil Movel,0,4,0.99,30,6
1055238,Brasil Movel,0,4,0.99,30,6
