Code,Destination,Connect Cost(BRL),Included Seconds,Per Minute Cost(BRL),Initial Increment,Increment,Rate Group,Status,Created Date
55116,Movel,0.305,3,0.61,30,6,Padrao,Active,9/12/2017 18:35
55117,Movel,0.305,3,0.61,30,6,Padrao,Active,9/12/2017 18:35
55118,Movel,0.305,3,0.61,30,6,Padrao,Active,9/12/2017 18:35
55119,Movel,0.305,3,0.61,30,6,Padrao,Active,9/12/2017 18:35
55126,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55127,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55128,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55129,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55136,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55137,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55138,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55139,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55146,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55147,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55148,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55149,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55156,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55157,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55158,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55159,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55166,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55167,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55168,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55169,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55176,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55177,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55178,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55179,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55186,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55187,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55188,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55189,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55196,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55197,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55198,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55199,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55206,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55207,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55208,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55209,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55216,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55217,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55218,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55219,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55226,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55227,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55228,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55229,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55236,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55237,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55238,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55239,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55246,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55247,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55248,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55249,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55256,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55257,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55258,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55259,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55266,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
