ROTA;LOCALIDADE;REGIÃO;VALOR_UNITÁRIO
93;Afghanistan;LDIF;1,404700
937;Afghanistan - Mobile;LDIM;1,404700
1907;Alaska (USA);LDIF;0,704700
355;Albania;LDIF;0,690600
35566;Albania - Mobile;LDIM;1,517400
35567;Albania - Mobile;LDIM;1,517400
35568;Albania - Mobile;LDIM;1,517400
35569;Albania - Mobile;LDIM;1,517400
213;Algeria;LDIF;1,403500
2135;Algeria - Mobile;LDIM;1,746500
2137;Algeria - Mobile;LDIM;1,746500
2136;Algeria - Mobile;LDIM;1,746500
2139;Algeria - Mobile;LDIM;1,746500
1684;American Samoa;LDIF;1,267900
376;Andorra;LDIF;0,179100
3765;Andorra - Mobile;LDIM;1,430000
3764;Andorra - Mobile;LDIM;1,430000
3766;Andorra - Mobile;LDIM;1,430000
3763;Andorra - Mobile;LDIM;1,430000
244;Angola;LDIF;1,121600
2449;Angola - Mobile;LDIM;1,121600
1264;Anguilla;LDIF;0,755200
672;Antarctica;LDIF;46,659200
1268;Antigua and Barbuda;LDIF;0,687700
1268464;Antigua and Barbuda - Mobile;LDIM;1,639000
1268776;Antigua and Barbuda - Mobile;LDIM;1,639000
1268778;Antigua and Barbuda - Mobile;LDIM;1,639000
1268779;Antigua and Barbuda - Mobile;LDIM;1,639000
1268780;Antigua and Barbuda - Mobile;LDIM;1,639000
126871;Antigua and Barbuda - Mobile;LDIM;1,639000
1268732;Antigua and Barbuda - Mobile;LDIM;1,639000
1268773;Antigua and Barbuda - Mobile;LDIM;1,639000
1268775;Antigua and Barbuda - Mobile;LDIM;1,639000
1268781;Antigua and Barbuda - Mobile;LDIM;1,639000
1268783;Antigua and Barbuda - Mobile;LDIM;1,639000
126872;Antigua and Barbuda - Mobile;LDIM;1,639000
1268734;Antigua and Barbuda - Mobile;LDIM;1,639000
1268772;Antigua and Barbuda - Mobile;LDIM;1,639000
1268774;Antigua and Barbuda - Mobile;LDIM;1,639000
1268782;Antigua and Barbuda - Mobile;LDIM;1,639000
1268784;Antigua and Barbuda - Mobile;LDIM;1,639000
1268736;Antigua and Barbuda - Mobile;LDIM;1,639000
1268764;Antigua and Barbuda - Mobile;LDIM;1,639000
1268770;Antigua and Barbuda - Mobile;LDIM;1,639000
1268771;Antigua and Barbuda - Mobile;LDIM;1,639000
1268785;Antigua and Barbuda - Mobile;LDIM;1,639000
1268786;Antigua and Barbuda - Mobile;LDIM;1,639000
1268788;Antigua and Barbuda - Mobile;LDIM;1,639000
1268789;Antigua and Barbuda - Mobile;LDIM;1,639000
54;Argentina;LDIF;0,120000
5411;Argentina - Buenos Aires;LDIF;0,120000
549;Argentina - Mobile;LDIM;0,313200
374;Armenia;LDIF;0,690600
37443;Armenia - Mobile;LDIM;1,517400
37449;Armenia - Mobile;LDIM;1,517400
