Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55813578,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55553807,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55333755,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55383526,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55753445,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623503,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55624109,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55624108,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623520,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55343847,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623039,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623343,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623343,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55623350,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55373799,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55373541,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55373514,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55343674,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55343855,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55343671,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55913035,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55913759,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55913751,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55913035,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55883558,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55323447,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55773476,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55793526,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55423250,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55433556,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55433556,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55493545,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55493545,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55943342,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55493445,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55493445,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
